year;cou;ind;own;flag_go;go;flag_gva;gva;flag_exgr;exgr;flag_imgr;imgr
2008;ARG;A;MNE;e, f;914;e;585;e;232;e;43
2008;ARG;A;nonMNE;e, f;48697;e;31140;e;12366;e;2280
2008;ARG;B;MNE;e, f;7497;e;4547;e, f;434;e, f;275
2008;ARG;B;nonMNE;e, f;11556;e;6611;e, f;208;e, f;234
2008;ARG;C10T12;MNE;e, f;19260;e;5786;e, f;8409;e, f;1089
2008;ARG;C10T12;nonMNE;e, f;34549;e;11281;e, f;6674;e, f;1163
2008;ARG;C13T15;MNE;e, f;7860;e;3645;e, f;598;e, f;583
2008;ARG;C13T15;nonMNE;e, f;11592;e;5375;e, f;787;e, f;886
2008;ARG;C16;MNE;e, f;566;e;240;e, f;61;e, f;37
2008;ARG;C16;nonMNE;e, f;3705;e;1656;e, f;140;e, f;127
2008;ARG;C17T18;MNE;e, f;1669;e;748;e, f;211;e, f;187
2008;ARG;C17T18;nonMNE;e, f;5080;e;2275;e, f;199;e, f;263
2008;ARG;C19;MNE;e, f;2572;e;817;e;333;e;101
2008;ARG;C19;nonMNE;e, f;15799;e;4870;e;2046;e;623
2008;ARG;C20T21;MNE;e, f;4061;e;1948;e, f;863;e, f;335
2008;ARG;C20T21;nonMNE;e, f;2325;e;775;e, f;419;e, f;231
2008;ARG;C22;MNE;e, f;3913;e;1615;e, f;437;e, f;516
2008;ARG;C22;nonMNE;e, f;5250;e;2064;e, f;380;e, f;618
2008;ARG;C23;MNE;e, f;1254;e;620;e, f;66;e, f;71
2008;ARG;C23;nonMNE;e, f;3212;e;1513;e, f;76;e, f;136
2008;ARG;C24;MNE;e, f;11674;e;4469;e, f;2369;e, f;1165
2008;ARG;C24;nonMNE;e, f;5476;e;2207;e, f;950;e, f;516
2008;ARG;C25;MNE;e, f;1445;e;659;e, f;147;e, f;164
2008;ARG;C25;nonMNE;e, f;6821;e;3174;e, f;306;e, f;438
2008;ARG;C26;MNE;e, f;550;e;302;e, f;31;e, f;49
2008;ARG;C26;nonMNE;e, f;467;e;214;e, f;25;e, f;51
2008;ARG;C27;MNE;e, f;2171;e;936;e, f;267;e, f;342
2008;ARG;C27;nonMNE;e, f;1270;e;507;e, f;71;e, f;122
2008;ARG;C28;MNE;e, f;1889;e;959;e, f;231;e, f;140
