year;cou;ind;ARG;AUS;AUT;BEL;BGR;BRA;CAN;CHE;CHL;CHN;COL;CRI;CYP;CZE;DEU;DNK;ESP;EST;FIN;FRA;GBR;GRC;HKG;HRV;HUN;IDN;IND;IRL;ISL;ISR;ITA;JPN;KOR;LTU;LUX;LVA;MAR;MEX;MLT;MYS;NLD;NOR;NZL;PHL;POL;PRT;ROU;ROW;RUS;SAU;SGP;SVK;SVN;SWE;THA;TUR;TWN;USA;VNM;ZAF
2005;ARG;A;27456;1;0;0;0;2;11;2;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;28;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0
2005;ARG;B;9257;0;0;0;0;0;659;0;3;0;5;0;0;0;0;0;1873;0;0;747;2;0;0;0;0;2;0;0;0;0;11;0;0;0;0;0;0;0;0;26;0;0;3;0;0;0;0;0;0;0;0;0;0;0;5;0;0;3993;0;1
2005;ARG;C10T12;30404;20;0;0;0;75;91;79;0;9;0;0;0;0;2;0;126;0;0;935;0;0;4;0;0;0;0;1;2;4;162;0;0;0;0;0;0;15;0;0;165;3;1;0;0;1;0;16;5;0;4;0;0;0;0;2;4;1294;0;2
2005;ARG;C13T15;11310;2;0;0;0;6;8;6;0;1;0;0;0;0;0;8;6;0;4;15;0;0;0;0;0;0;2;1;0;12;45;0;0;0;0;0;0;1;0;0;17;1;0;0;0;8;0;1;0;0;0;0;0;0;0;0;0;103;0;0
2005;ARG;C16;2386;1;1;0;0;5;6;5;0;1;0;0;0;0;0;0;58;0;0;14;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;12;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;49;0;0
2005;ARG;C17T18;3569;5;1;0;0;19;24;20;0;2;0;0;0;0;1;0;143;0;0;84;0;0;1;0;0;0;0;3;0;1;111;0;0;0;0;0;0;4;0;0;46;2;0;0;0;0;0;4;1;0;1;0;0;0;0;0;1;325;0;0
2005;ARG;C19;11142;21;36;0;0;108;133;124;0;7;0;0;0;0;7;0;16;0;0;188;127;0;4;0;0;0;0;0;2;4;35;0;0;0;0;0;0;15;0;0;393;8;1;0;0;0;0;17;5;0;4;0;0;0;0;1;4;1473;0;2
2005;ARG;C20T21;4461;41;0;131;0;181;200;215;0;12;0;0;0;0;554;0;36;0;0;249;186;0;8;0;0;0;0;0;3;152;183;0;0;0;0;0;0;29;0;0;426;17;2;0;0;0;0;33;10;0;7;0;0;0;0;3;8;2404;0;3
2005;ARG;C22;5116;7;1;21;0;29;38;30;0;3;0;0;0;0;92;0;11;0;0;50;9;0;2;0;0;0;0;1;1;7;192;0;0;0;0;0;0;5;0;0;93;0;0;0;0;0;0;6;2;0;1;0;0;0;0;1;1;316;0;1
2005;ARG;C23;2550;5;1;0;0;19;24;20;0;2;0;0;0;0;38;15;117;0;0;112;1;0;1;0;0;0;0;3;0;1;23;1;0;0;0;0;0;4;0;0;50;2;0;0;0;5;0;4;1;0;1;0;0;0;0;0;1;145;0;0
