year;cou;own;ind;gva;flag_gva;exgr;flag_exgr;imgr;flag_imgr
2005;ARG;D;A;16999;e;6070;e;1100;e
2005;ARG;F;A;39;e;38;e;16;e
2005;ARG;D;B;5315;e, f;587;e, f;218;e, f
2005;ARG;F;B;5080;e, f;3277;e, f;485;e, f
2005;ARG;D;C10T12;9327;e, f;8127;e, f;953;e, f
2005;ARG;F;C10T12;1011;e, f;1222;e, f;208;e, f
2005;ARG;D;C13T15;5094;e, f;1118;e, f;843;e, f
2005;ARG;F;C13T15;90;e, f;67;e, f;48;e, f
2005;ARG;D;C16;1055;e, f;181;e, f;85;e, f
2005;ARG;F;C16;53;e, f;49;e, f;23;e, f
2005;ARG;D;C17T18;1604;e, f;291;e, f;250;e, f
2005;ARG;F;C17T18;295;e, f;125;e, f;118;e, f
2005;ARG;D;C19;3494;e, f;1860;e, f;527;e, f
2005;ARG;F;C19;1226;e, f;670;e, f;170;e, f
2005;ARG;D;C20T21;1839;e, f;957;e, f;414;e, f
2005;ARG;F;C20T21;2236;e, f;1406;e, f;743;e, f
2005;ARG;D;C22;2049;e, f;506;e, f;631;e, f
2005;ARG;F;C22;352;e, f;195;e, f;224;e, f
2005;ARG;D;C23;1190;e, f;101;e, f;106;e, f
2005;ARG;F;C23;273;e, f;51;e, f;62;e, f
2005;ARG;D;C24;3707;e, f;1945;e, f;877;e, f
2005;ARG;F;C24;273;e, f;302;e, f;127;e, f
2005;ARG;D;C25;2111;e, f;248;e, f;292;e, f
2005;ARG;F;C25;206;e, f;85;e, f;105;e, f
2005;ARG;D;C26;259;e, f;38;e, f;65;e, f
2005;ARG;F;C26;594;e, f;139;e, f;276;e, f
2005;ARG;D;C27;758;e, f;177;e, f;219;e, f
2005;ARG;F;C27;244;e, f;96;e, f;120;e, f
2005;ARG;D;C28;923;e, f;181;e, f;133;e, f
2005;ARG;F;C28;609;e, f;264;e, f;225;e, f
2005;ARG;D;C29;575;e, f;375;e, f;196;e, f
2005;ARG;F;C29;2447;e, f;2826;e, f;1600;e, f
2005;ARG;D;C30;69;e, f;26;e, f;16;e, f
2005;ARG;F;C30;88;e, f;53;e, f;32;e, f
2005;ARG;D;C31T33;681;e, f;63;e, f;55;e, f
2005;ARG;F;C31T33;509;e, f;107;e, f;111;e, f
2005;ARG;D;DTE;3287;e, f;66;e, f;219;e, f
2005;ARG;F;DTE;1034;e, f;40;e, f;188;e, f
2005;ARG;D;F;6655;e, f;0;e, f;707;e, f
2005;ARG;F;F;422;e, f;0;e, f;171;e, f
2005;ARG;D;G;19706;e, f;3091;e, f;661;e, f
2005;ARG;F;G;2934;e, f;1477;e, f;338;e, f
2005;ARG;D;H;10354;e, f;2242;e, f;901;e, f
2005;ARG;F;H;773;e, f;862;e, f;254;e, f
2005;ARG;D;I;5237;e, f;214;e, f;153;e
2005;ARG;F;I;254;e, f;94;e, f;20;e
2005;ARG;D;J58T60;2696;e, f;196;e;220;e
2005;ARG;F;J58T60;453;e, f;52;e;51;e
2005;ARG;D;J61;2514;e, f;269;e;253;e
2005;ARG;F;J61;397;e, f;64;e;52;e
2005;ARG;D;J62T63;255;e, f;46;e, f;33;e
2005;ARG;F;J62T63;664;e, f;233;e, f;69;e
2005;ARG;D;K;583;e;6;e;43;e
2005;ARG;F;K;4609;e;18;e;248;e
2005;ARG;D;L;14482;e, f;191;e, f;256;e, f
2005;ARG;F;L;297;e, f;21;e, f;26;e, f
2005;ARG;D;MTN;6087;e, f;908;e, f;352;e, f
2005;ARG;F;MTN;1635;e, f;578;e, f;293;e, f
2005;ARG;D;O;6832;e;0;e;404;e
2005;ARG;F;O;0;e;0;e;1;e
2005;ARG;D;P;7392;e;13;e;209;e
2005;ARG;F;P;9;e;0;e;6;e
2005;ARG;D;Q;4935;e;10;e;278;e
2005;ARG;F;Q;51;e;1;e;15;e
2005;ARG;D;RTS;4904;e;113;e;372;e
2005;ARG;F;RTS;99;e;7;e;25;e
2005;ARG;D;T;2400;e;0;e;0;e
2005;ARG;F;T;0;e;0;e;0;e
2005;AUS;D;A;19824;e;5322;e;1287;e
2005;AUS;F;A;627;e;191;e;72;e
2005;AUS;D;B;25145;e, h;5826;e, f;1159;e, f
2005;AUS;F;B;24803;e, h;28103;e, f;2293;e, f
2005;AUS;D;C10T12;11930;e, f;6952;e, f;1260;e, f
2005;AUS;F;C10T12;4779;e, f;3817;e, f;943;e, f
2005;AUS;D;C13T15;2119;e, f;963;e, f;663;e, f
2005;AUS;F;C13T15;264;e, f;257;e, f;166;e, f
2005;AUS;D;C16;2807;e, f;590;e, f;342;e, f
2005;AUS;F;C16;151;e, f;157;e, f;79;e, f
2005;AUS;D;C17T18;3875;e, f;524;e, f;660;e, f
2005;AUS;F;C17T18;1066;e, f;329;e, f;456;e, f
2005;AUS;D;C19;544;e, f;257;e, f;911;e, f
2005;AUS;F;C19;2534;e, f;1141;e, f;3774;e, f
2005;AUS;D;C20T21;336;e, f;262;e, f;127;e, f
2005;AUS;F;C20T21;4881;e, f;3721;e, f;2155;e, f
2005;AUS;D;C22;2731;e, f;505;e, f;799;e, f
2005;AUS;F;C22;1045;e, f;415;e, f;614;e, f
2005;AUS;D;C23;3199;e, f;311;e, f;426;e, f
2005;AUS;F;C23;803;e, f;170;e, f;260;e, f
2005;AUS;D;C24;10583;e, f;11277;e, f;864;e, f
2005;AUS;F;C24;1220;e, f;2560;e, f;192;e, f
