AFFILIATE_COUNTRY_NAME;TOTAL;TOTAL_US;TOTAL_US_RELATED;TOTAL_US_UNRELATED;TOTAL_FOREIGN;TOTAL_AFFILIATE_COUNTRY;TOTAL_AFFILIATE_COUNTRY_RELATED;TOTAL_AFFILIATE_COUNTRY_UNRELATED;TOTAL_OTHER_COUNTRY;TOTAL_OTHER_COUNTRY_RELATED;TOTAL_OTHER_COUNTRY_UNRELATED
Canada;630131;131418;105330;26088;498713;472655;47940;424716;26058;11812;14246
Austria;24408;1879;1770;109;22529;14370;600;13770;8160;5527;2633
Belgium;168089;27017;26583;434;141071;55500;11631;43869;85571;52308;33264
Czech Republic;16542;599;533;66;15943;10400;839;9561;5543;3486;2057
Denmark;21622;1044;574;470;20579;16194;;;4384;2167;2218
Finland;10000;1316;1197;119;8684;5926;441;5485;2757;1596;1162
France;211209;6924;5031;1893;204285;151120;9060;142061;53165;29324;23841
Germany;366908;18181;12822;5359;348726;237996;38807;199189;110730;63128;47602
Greece;5388;66;57;9;5322;4751;;;571;426;145
Hungary;17602;1228;1199;28;16374;9251;1078;8172;7124;3711;3413
Ireland;419941;75989;72012;3976;343952;68100;19473;48627;275853;121381;154471
Italy;124842;8196;6999;1197;116646;91711;3953;87758;24935;11002;13933
Luxembourg;68263;12602;7561;5042;55660;33220;2066;31154;22440;10603;11837
Netherlands;298342;27452;23165;4287;270890;116960;7213;109746;153930;94595;59335
Norway;34008;1498;1454;44;32509;18377;927;17450;14132;9231;4901
Poland;45461;1379;1155;224;44081;29759;1750;28010;14322;9880;4442
Portugal;10701;302;263;39;10399;7930;226;7705;2469;867;1601
Russia;47176;656;522;134;46520;41315;2790;38525;5205;4010;1194
Spain;90484;2034;1069;965;88451;60272;2048;58224;28178;17606;10572
Sweden;34482;2783;2519;264;31699;20675;1358;19316;11024;6149;4875
Switzerland;410689;40181;30105;10076;370509;111215;12744;98471;259294;130850;128444
Turkey;28947;319;171;148;28628;26275;958;25317;2353;;
United Kingdom;650814;51953;34841;17111;598861;441189;39007;402182;157672;60964;96708
Other Europe;64086;2760;2609;152;61326;23023;768;22255;38302;;
Argentina;38658;2480;2451;29;36178;27377;1064;26312;8801;7253;1549
Brazil;166559;7141;6409;732;159419;133440;19492;113948;25978;15985;9993
Chile;35186;900;505;395;34286;26862;968;25893;7424;643;6782
Colombia;19290;373;207;166;18917;14791;262;14529;4126;907;3220
Ecuador;4711;117;51;66;4594;3838;614;3224;756;464;292
Peru;14998;635;;;14363;8624;533;8091;5739;1543;4196
Venezuela;11796;310;;;11486;11343;69;11274;143;44;99
Other South America;7244;256;189;67;6987;3023;273;2750;3964;1403;2560
Costa Rica;14295;2814;2597;217;11480;7759;129;7630;3721;2758;963
Honduras;4053;66;62;4;3987;3493;;;494;372;122
Mexico;254070;83891;73357;10534;170178;152391;7902;144488;17788;9635;8153
Panama;8412;576;545;31;7836;5951;911;5040;1885;327;1558
Other Central America;10472;848;818;30;9624;7771;;;1853;1481;373
Barbados;14097;5063;5047;16;9033;261;;;8772;;
Bermuda;43551;13496;10599;2897;30055;14170;1723;12447;15885;9809;6076
Dominican Republic;3906;939;935;4;2967;2237;36;2201;731;421;310
United Kingdom Islands, Caribbean;42529;6673;4022;2651;35856;9596;732;8864;26260;15065;11195
Other Other Western Hemisphere;26636;2767;2117;650;23869;18959;;;4910;;
Egypt;12925;78;73;5;12848;11853;432;11420;995;524;471
Nigeria;;;;4;10321;;;4396;;;337
South Africa;31979;2159;2014;145;29819;26114;417;25696;3706;718;2988
Other Africa;;;;395;23653;;;12429;;;3044
Israel;21778;7996;7420;576;13782;8549;261;8289;5233;3692;1541
Saudi Arabia;9765;388;;;9377;6855;427;6428;2521;;
United Arab Emirates;27579;756;546;210;26823;19950;;;6873;2094;4779
Other Middle-East;11005;544;;;10461;8645;;;1816;;
Australia;163413;6002;5221;781;157410;125179;6580;118599;32231;11053;21178
China;389952;26828;22098;4730;363124;316600;27714;288886;46525;34385;12140
Hong Kong;151726;62221;59370;2851;89504;61819;6018;55800;27685;12671;15015
India;101651;21978;20293;1685;79673;69097;3637;65460;10576;7205;3371
Indonesia;26024;180;159;21;25844;14010;1025;12985;11834;9640;2194
Japan;210336;6005;5380;625;204331;182155;5513;176643;22175;14685;7490
Korea, Republic of;69281;5936;5506;430;63344;51711;1231;50480;11633;6382;5251
Malaysia;47478;9223;8181;1042;38255;22532;2539;19993;15723;9174;6549
New Zealand;14534;900;536;364;13634;11337;159;11179;2297;480;1817
Philippines;22686;3534;3101;432;19152;12215;801;11414;6937;6643;294
Singapore;462011;47252;37253;9999;414758;175144;39249;135896;239614;106720;132894
Taiwan;42831;3412;2798;614;39418;29155;1614;27541;10263;8959;1304
Thailand;68516;8453;8022;431;60063;45336;5633;39703;14726;9505;5221
Other Asia and Pacific;36939;2503;1930;572;34436;28844;118;28726;5592;2335;3257
