NAME,CODE,CONTINENT_NAME,CONTINENT_CODE
Afghanistan,AFG,Asia,ASIA
Africa,AFR,Africa,AFR
Other Africa,OAFR,Africa,AFR
Albania,ALB,Europe,EUR
Algeria,DZA,Africa,AFR
America,AMR,America,AMR
Americas,AMR,America,AMR
America (Continent),AMR,America,AMR
Central America,CAMR,America,AMR
Latin America,LAMR,America,AMR
North America,NAMR,North America,NAMR
South America,SAMR,South America,SAMR
Other America,OAMR,America,AMR
Other Americas,OAMR,America,AMR
American Samoa,ASM,Oceania,OCN
Andorra,AND,Europe,EUR
Angola,AGO,Africa,AFR
Anguilla,AIA,North America,NAMR
Antarctica,ATA,Antarctica,ATC
Antigua and Barbuda,ATG,North America,NAMR
Argentina,ARG,South America,SAMR
Armenia,ARM,Asia,ASIA
Aruba,ABW,North America,NAMR
Asia,ASIA,Asia,ASIA
Other Asia,OASIA,Asia,ASIA
Australia,AUS,Oceania,OCN
Austria,AUT,Europe,EUR
Azerbaijan,AZE,Asia,ASIA
Bahamas,BHS,North America,NAMR
Bahrain,BHR,Asia,ASIA
Bangladesh,BGD,Asia,ASIA
Barbados,BRB,North America,NAMR
Belarus,BLR,Europe,EUR
Belgium,BEL,Europe,EUR
Belize,BLZ,North America,NAMR
Benin,BEN,Africa,AFR
Bermuda,BMU,North America,NAMR
Bhutan,BTN,Asia,ASIA
"Bolivia, Plurinational State of",BOL,South America,SAMR
Bolivia,BOL,South America,SAMR
Bonaire,BES,North America,NAMR
Bosnia and Herzegovina,BIH,Europe,EUR
Botswana,BWA,Africa,AFR
Bouvet Island,BVT,Antarctica,ATC
Brazil,BRA,South America,SAMR
British Indian Ocean Territory,IOT,Asia,ASIA
Brunei Darussalam,BRN,Asia,ASIA
Brunei,BRN,Asia,ASIA
Bulgaria,BGR,Europe,EUR
Burkina Faso,BFA,Africa,AFR
Burundi,BDI,Africa,AFR
Cambodia,KHM,Asia,ASIA
Cameroon,CMR,Africa,AFR
Canada,CAN,North America,NAMR
Cape Verde,CPV,Africa,AFR
Cayman Islands,CYM,North America,NAMR
Central African Republic,CAF,Africa,AFR
Chad,TCD,Africa,AFR
Chile,CHL,South America,SAMR
China,CHN,Asia,ASIA
China (People's Republic of),CHN,Asia,ASIA
Christmas Island,CXR,Asia,ASIA
Cocos (Keeling) Islands,CCK,Asia,ASIA
Colombia,COL,South America,SAMR
Comoros,COM,Africa,AFR
Congo,COG,Africa,AFR
"Congo, Republic of",COG,Africa,AFR
Democratic Republic of the Congo,COD,Africa,AFR
