COUNTRY_NAME;COUNTRY_CODE;GNI_2016;GNI_2017;GNI_2018;GNI_2019
Aruba;ABW;2830726257,00;2885753966,00;;
Afghanistan;AFG;18197299092,00;19118263187,00;18544615040,00;19597763437,00
Angola;AGO;95850167792,00;114618000000,00;93523683283,00;81299397793,00
Albania;ALB;12054338166,00;13053733603,00;15129831617,00;15077445950,00
Andorra;AND;;;;
Arab World;ARB;2485780000000,00;2533660000000,00;2774520000000,00;2822970000000,00
United Arab Emirates;ARE;359142000000,00;388383000000,00;423639000000,00;423201000000,00
Argentina;ARG;545339000000,00;627248000000,00;499007000000,00;427609000000,00
Armenia;ARM;10791285342,00;11934826620,00;12676547765,00;13900535496,00
American Samoa;ASM;;;;
Antigua and Barbuda;ATG;1339482996,00;1389228020,00;1527400663,00;1582208562,00
Australia;AUS;1180240000000,00;1293020000000,00;1387450000000,00;1352020000000,00
Austria;AUT;395539000000,00;413325000000,00;450955000000,00;447295000000,00
Azerbaijan;AZE;35395431535,00;39106056124,00;44653352059,00;45986633059,00
Burundi;BDI;2958794875,00;3167492069,00;3043033463,00;3019539459,00
Belgium;BEL;480303000000,00;507306000000,00;549038000000,00;539739000000,00
Benin;BEN;11718307252,00;12561418821,00;14105967001,00;14247234409,00
Burkina Faso;BFA;12261728543,00;13577335799,00;15376600312,00;15326472488,00
Bangladesh;BGD;234168000000,00;260441000000,00;286536000000,00;316907000000,00
Bulgaria;BGR;52129665724,00;57538881590,00;64150353048,00;67445642244,00
Bahrain;BHR;30439494681,00;33484122340,00;35576436170,00;36313430851,00
Bahamas, The;BHS;11488582400,00;12130014600,00;12339847200,00;13114074100,00
Bosnia and Herzegovina;BIH;16935693682,00;18014866889,00;20125528063,00;20151944937,00
Belarus;BLR;45508099166,00;52644634115,00;57886015607,00;61210714648,00
Belize;BLZ;1664300000,00;1711400000,00;1689600000,00;1721313600,00
Bermuda;BMU;7095783000,00;7435279000,00;7459240000,00;7587978000,00
Bolivia;BOL;33320230250,00;36398995789,00;39311992849,00;40080303995,00
Brazil;BRA;1757600000000,00;2024250000000,00;1832170000000,00;1790970000000,00
Barbados;BRB;4608564150,00;4754253200,00;4856103100,00;5030074650,00
Brunei Darussalam;BRN;12235956707,00;12848520530,00;13651197272,00;13830513708,00
Bhutan;BTN;1973485495,00;2237541687,00;2226677926,00;2300999286,00
Botswana;BWA;14355849145,00;16039012264,00;17081062176,00;16946994059,00
Central African Republic;CAF;1847781813,00;2177935775,00;2386745258,00;2386023522,00
Canada;CAN;1509570000000,00;1630710000000,00;1694110000000,00;1718550000000,00
Central Europe and the Baltics;CEB;1274220000000,00;1413440000000,00;1587650000000,00;1613900000000,00
Switzerland;CHE;672889000000,00;668881000000,00;707054000000,00;716957000000,00
Channel Islands;CHI;;;;
Chile;CHL;242625000000,00;265587000000,00;285432000000,00;270973000000,00
China;CHN;11188300000000,00;12300700000000,00;13819900000000,00;14246100000000,00
Cote d'Ivoire;CIV;46887633191,00;50051967023,00;55809155337,00;56975603680,00
Cameroon;CMR;32085147356,00;34347942597,00;37954150400,00;38259800550,00
Congo, Dem. Rep.;COD;36345365361,00;36945659018,00;45549717038,00;48961721244,00
Congo, Rep.;COG;9944883285,00;10800097020,00;11498406922,00;9534724557,00
Colombia;COL;279763000000,00;306185000000,00;325127000000,00;313494000000,00
Comoros;COM;1018190401,00;1083389247,00;1185350498,00;1170987117,00
Cabo Verde;CPV;1603727125,00;1708731942,00;1920635860,00;1939454972,00
Costa Rica;CRI;54676168526,00;55569873365,00;57266410098,00;58190318731,00
Caribbean small states;CSS;66957949132,00;69724869219,00;71818854508,00;75489490416,00
Cuba;CUB;90086000000,00;;;
Curacao;CUW;3105924804,00;3143314022,00;3232793296,00;3234078212,00
Cayman Islands;CYM;2950833516,00;3095338608,00;;
Cyprus;CYP;20118149214,00;21987131722,00;24341996930,00;23946675249,00
Czech Republic;CZE;183031000000,00;206251000000,00;234810000000,00;235270000000,00
Germany;DEU;3552140000000,00;3759610000000,00;4060010000000,00;3966090000000,00
Djibouti;DJI;2745407259,00;2874159683,00;3113723865,00;3230790007,00
Dominica;DMA;561033481,50;508221814,80;552210814,80;573346766,30
Denmark;DNK;320813000000,00;336416000000,00;364913000000,00;360446000000,00
Dominican Republic;DOM;72450765679,00;76203984075,00;81709981972,00;84666208178,00
Algeria;DZA;158430000000,00;167571000000,00;170986000000,00;166891000000,00
