AFFILIATE_COUNTRY_NAME;UNRELATED_PARTY_REVENUES;RELATED_PARTY_REVENUES;TOTAL_REVENUES
United States;11323655145419;3418412407492;14742067552911
Algeria;1669789190;797568863;2467358053
Angola;736205271;2940382378;3676587649
Botswana;322144549;62794177;384938726
Cameroon;90695540;8554728;99250268
Cote D'Ivoire (Ivory Coast);114206912;1093979480;1208186392
Egypt;9657976087;1377951127;11035927214
Ethiopia;282086319;10655026;292741345
Gabon;69996557;5645949;75642506
Ghana;1779525665;1093200416;2872726081
Kenya;863884980;285527867;1149412847
Libya;2147576983;8645594;2156222577
Malawi;47917700;325307486;373225186
Mauritius;-194596451;3195068994;3000472543
Morocco;1971163934;879963289;2851127223
Mozambique;244515905;262280436;506796341
Namibia;192796518;3466686;196263204
Nigeria;3178472312;5821634689;9000107001
Senegal;218073527;46865258;264938785
South Africa;28522594315;4810082098;33332676413
Swaziland;349146765;574512503;923659268
Tanzania;178015654;214824712;392840366
Tunisia;225426321;192049265;417475586
Uganda;279281044;58778559;338059603
Zambia;317136726;50902951;368039677
Zimbabwe;93162147;295689475;388851622
Other Africa;1789577114;1519806937;3309384051
Argentina;27846618621;11148772446;38995391067
Aruba;385204193;63244063;448448256
Bahamas;3875238045;6359809373;10235047417
Barbados;408330435;32599034492;33007364927
Bermuda;15968236047;94097204646;110065440693
Bolivia;471577895;331143604;802721499
Brazil;137466661371;33164971119;170631632490
British Virgin Islands;560456499;6779053877;7339510376
Canada;363411265010;134928928165;498340193175
Cayman Islands;16445781809;58739847191;75185629000
Chile;31214405188;3169858682;34384263870
Colombia;17786971374;4564334753;22351306126
Costa Rica;6295873662;6570439068;12866312730
Curacao;167972924;717549609;885522533
Dominican Republic;2673610615;1769976538;4443587153
Ecuador;3709888285;944194964;4654083249
El Salvador;2946878728;1208306002;4155184730
Guatemala;4327215529;983316436;5310531965
Honduras;2974405118;1871659039;4846064157
Jamaica;425752504;131085524;556838028
Mexico;146037511715;102037479766;248074991481
Nicaragua;1351597525;17143285;1368740810
Panama;6922711574;3211665692;10134377266
Paraguay;687004384;1546668364;2233672748
Peru;11346128062;4256406353;15602534415
Puerto Rico;17947300190;95064894175;113012194365
