Year,Trade Flow,Reporter,Reporter ISO,Partner,Partner ISO,Trade Value (US$)
2016,M,Ethiopia,ETH,Costa Rica,CRI,145426
2016,M,Ethiopia,ETH,Afghanistan,AFG,2379
2016,M,Ethiopia,ETH,Albania,ALB,80127
2016,M,Ethiopia,ETH,Algeria,DZA,29076
2016,M,Ethiopia,ETH,Angola,AGO,30426
2016,M,Ethiopia,ETH,Antigua and Barbuda,ATG,1537
2016,M,Ethiopia,ETH,Argentina,ARG,4420632
2016,M,Ethiopia,ETH,Azerbaijan,AZE,10624
2016,M,Ethiopia,ETH,Australia,AUS,15023710
2016,M,Ethiopia,ETH,Bahrain,BHR,366682275
2016,M,Ethiopia,ETH,Armenia,ARM,7397
2016,M,Ethiopia,ETH,Barbados,BRB,235
2016,M,Ethiopia,ETH,Bermuda,BMU,252555
2016,M,Ethiopia,ETH,Bosnia Herzegovina,BIH,24128
2016,M,Ethiopia,ETH,Botswana,BWA,43824
2016,M,Ethiopia,ETH,Belize,BLZ,8169
2016,M,Ethiopia,ETH,Bulgaria,BGR,31551433
2016,M,Ethiopia,ETH,Myanmar,MMR,29394
2016,M,Ethiopia,ETH,Burundi,BDI,3174
2016,M,Ethiopia,ETH,Belarus,BLR,1357097
2016,M,Ethiopia,ETH,Cambodia,KHM,390628
2016,M,Ethiopia,ETH,Cameroon,CMR,259714
2016,M,Ethiopia,ETH,Canada,CAN,67122799
2016,M,Ethiopia,ETH,Cabo Verde,CPV,59617
2016,M,Ethiopia,ETH,Chad,TCD,5179
2016,M,Ethiopia,ETH,Chile,CHL,794653
2016,M,Ethiopia,ETH,Christmas Isds,CXR,14759
2016,M,Ethiopia,ETH,Colombia,COL,1838488
2016,M,Ethiopia,ETH,Comoros,COM,11952
2016,M,Ethiopia,ETH,Congo,COG,76904
2016,M,Ethiopia,ETH,Dem. Rep. of the Congo,COD,2620
2016,M,Ethiopia,ETH,Croatia,HRV,2280916
2016,M,Ethiopia,ETH,Cuba,CUB,34459
2016,M,Ethiopia,ETH,Cyprus,CYP,5387768
2016,M,Ethiopia,ETH,Czechia,CZE,20550601
2016,M,Ethiopia,ETH,Benin,BEN,207
2016,M,Ethiopia,ETH,Dominican Rep.,DOM,5741
2016,M,Ethiopia,ETH,Ecuador,ECU,848088
2016,M,Ethiopia,ETH,El Salvador,SLV,104017
2016,M,Ethiopia,ETH,Estonia,EST,752055
2016,M,Ethiopia,ETH,French Polynesia,PYF,14
2016,M,Ethiopia,ETH,Djibouti,DJI,602
2016,M,Ethiopia,ETH,Gabon,GAB,91331
2016,M,Ethiopia,ETH,Georgia,GEO,201158
2016,M,Ethiopia,ETH,State of Palestine,PSE,52985
2016,M,Ethiopia,ETH,Ghana,GHA,129748
2016,M,Ethiopia,ETH,Guatemala,GTM,199801
2016,M,Ethiopia,ETH,Guinea,GIN,663383
2016,M,Ethiopia,ETH,Haiti,HTI,50658
2016,M,Ethiopia,ETH,Holy See (Vatican City State),VAT,7489
2016,M,Ethiopia,ETH,Iceland,ISL,991917
2016,M,Ethiopia,ETH,Iraq,IRQ,30679
2016,M,Ethiopia,ETH,Côte d'Ivoire,CIV,361690
2016,M,Ethiopia,ETH,Jamaica,JAM,8235
2016,M,Ethiopia,ETH,Kazakhstan,KAZ,175805
2016,M,Ethiopia,ETH,Jordan,JOR,3754779
2016,M,Ethiopia,ETH,Dem. People's Rep. of Korea,PRK,5327060
2016,M,Ethiopia,ETH,Kyrgyzstan,KGZ,1376655
2016,M,Ethiopia,ETH,Lesotho,LSO,6419
2016,M,Ethiopia,ETH,Latvia,LVA,26333809
2016,M,Ethiopia,ETH,Liberia,LBR,165251
2016,M,Ethiopia,ETH,Libya,LBY,103
2016,M,Ethiopia,ETH,Lithuania,LTU,3482140
2016,M,Ethiopia,ETH,Luxembourg,LUX,5851410
2016,M,Ethiopia,ETH,Madagascar,MDG,115414
2016,M,Ethiopia,ETH,Mali,MLI,2935611
2016,M,Ethiopia,ETH,Malta,MLT,745032
2016,M,Ethiopia,ETH,Mauritius,MUS,287141
2016,M,Ethiopia,ETH,Mongolia,MNG,42153
2016,M,Ethiopia,ETH,Mozambique,MOZ,144233
2016,M,Ethiopia,ETH,Namibia,NAM,818619
2016,M,Ethiopia,ETH,Nepal,NPL,3879
2016,M,Ethiopia,ETH,New Zealand,NZL,6271462
2016,M,Ethiopia,ETH,Nicaragua,NIC,9
2016,M,Ethiopia,ETH,Niger,NER,3015
2016,M,Ethiopia,ETH,Norway,NOR,7571831
2016,M,Ethiopia,ETH,Panama,PAN,52684
2016,M,Ethiopia,ETH,Peru,PER,6208003
2016,M,Ethiopia,ETH,Portugal,PRT,11252408
2016,M,Ethiopia,ETH,Guinea-Bissau,GNB,3774
2016,M,Ethiopia,ETH,Timor-Leste,TLS,3467
2016,M,Ethiopia,ETH,Qatar,QAT,4066013
2016,M,Ethiopia,ETH,Romania,ROU,210176504
2016,M,Ethiopia,ETH,Russian Federation,RUS,160096253
2016,M,Ethiopia,ETH,Rwanda,RWA,3130280
2016,M,Ethiopia,ETH,Senegal,SEN,218625
2016,M,Ethiopia,ETH,Sierra Leone,SLE,2282666
2016,M,Ethiopia,ETH,Seychelles,SYC,191
2016,M,Ethiopia,ETH,Singapore,SGP,22977876
2016,M,Ethiopia,ETH,Slovakia,SVK,4159023
2016,M,Ethiopia,ETH,Slovenia,SVN,3870282
2016,M,Ethiopia,ETH,Somalia,SOM,2059427
2016,M,Ethiopia,ETH,South Sudan,SSD,25626
2016,M,Ethiopia,ETH,Sudan,SDN,83114488
2016,M,Ethiopia,ETH,Suriname,SUR,6603
2016,M,Ethiopia,ETH,Eswatini,SWZ,8997472
2016,M,Ethiopia,ETH,Syria,SYR,331549
2016,M,Ethiopia,ETH,Tajikistan,TJK,638
2016,M,Ethiopia,ETH,Trinidad and Tobago,TTO,2416
2016,M,Ethiopia,ETH,Tonga,TON,79190
2016,M,Ethiopia,ETH,Togo,TGO,14991
2016,M,Ethiopia,ETH,Tunisia,TUN,1172757
2016,M,Ethiopia,ETH,Turkmenistan,TKM,8286
2016,M,Ethiopia,ETH,Turks and Caicos Isds,TCA,29450
2016,M,Ethiopia,ETH,Uganda,UGA,324201
2016,M,Ethiopia,ETH,North Macedonia,MKD,5823
2016,M,Ethiopia,ETH,United Rep. of Tanzania,TZA,4561827
2016,M,Ethiopia,ETH,Zambia,ZMB,513231
2016,M,Ethiopia,ETH,Burkina Faso,BFA,28142
2016,M,Ethiopia,ETH,Uruguay,URY,60535
2016,M,Ethiopia,ETH,Uzbekistan,UZB,6101445
2016,M,Ethiopia,ETH,Yemen,YEM,4173734
2016,M,Ethiopia,ETH,Andorra,AND,375989
2016,M,Ethiopia,ETH,Austria,AUT,75054121
2016,M,Ethiopia,ETH,Bangladesh,BGD,6664218
2016,M,Ethiopia,ETH,Belgium,BEL,232988618
2016,M,Ethiopia,ETH,Brazil,BRA,69118042
2016,M,Ethiopia,ETH,Sri Lanka,LKA,4708578
2016,M,Ethiopia,ETH,China,CHN,5292145664
2016,M,Ethiopia,ETH,Denmark,DNK,33048746
2016,M,Ethiopia,ETH,Finland,FIN,10186819
2016,M,Ethiopia,ETH,France,FRA,219601904
2016,M,Ethiopia,ETH,Germany,DEU,377125915
2016,M,Ethiopia,ETH,Greece,GRC,24406075
2016,M,Ethiopia,ETH,"China, Hong Kong SAR",HKG,63289882
2016,M,Ethiopia,ETH,Hungary,HUN,24827997
2016,M,Ethiopia,ETH,Indonesia,IDN,328945987
2016,M,Ethiopia,ETH,Iran,IRN,9817591
2016,M,Ethiopia,ETH,Ireland,IRL,35697957
2016,M,Ethiopia,ETH,Israel,ISR,27299934
2016,M,Ethiopia,ETH,Italy,ITA,771618059
2016,M,Ethiopia,ETH,Japan,JPN,696736843
2016,M,Ethiopia,ETH,Kenya,KEN,35320217
2016,M,Ethiopia,ETH,Rep. of Korea,KOR,193011180
2016,M,Ethiopia,ETH,Kuwait,KWT,905417037
2016,M,Ethiopia,ETH,Lebanon,LBN,4893186
2016,M,Ethiopia,ETH,Malawi,MWI,2382833
2016,M,Ethiopia,ETH,Malaysia,MYS,293821625
2016,M,Ethiopia,ETH,Mexico,MEX,5885671
2016,M,Ethiopia,ETH,"Other Asia, nes",S19,59088641
2016,M,Ethiopia,ETH,Morocco,MAR,200077768
2016,M,Ethiopia,ETH,Oman,OMN,14212694
2016,M,Ethiopia,ETH,Netherlands,NLD,188362481
2016,M,Ethiopia,ETH,Nigeria,NGA,7231878
2016,M,Ethiopia,ETH,Pakistan,PAK,36967947
2016,M,Ethiopia,ETH,Philippines,PHL,12338675
2016,M,Ethiopia,ETH,Poland,POL,105245114
2016,M,Ethiopia,ETH,Saudi Arabia,SAU,372078783
2016,M,Ethiopia,ETH,Serbia,SRB,42407790
2016,M,Ethiopia,ETH,India,IND,1337400907
2016,M,Ethiopia,ETH,Viet Nam,VNM,28178802
2016,M,Ethiopia,ETH,South Africa,ZAF,160894976
2016,M,Ethiopia,ETH,Zimbabwe,ZWE,50511
2016,M,Ethiopia,ETH,Spain,ESP,143974875
2016,M,Ethiopia,ETH,Sweden,SWE,437246974
2016,M,Ethiopia,ETH,Switzerland,CHE,60726711
2016,M,Ethiopia,ETH,Thailand,THA,137007601
2016,M,Ethiopia,ETH,United Arab Emirates,ARE,409497008
2016,M,Ethiopia,ETH,Turkey,TUR,597039042
2016,M,Ethiopia,ETH,Ukraine,UKR,180074200
2016,M,Ethiopia,ETH,Egypt,EGY,178374312
2016,M,Ethiopia,ETH,United Kingdom,GBR,214814786
2016,M,Ethiopia,ETH,USA,USA,1651234021
2017,M,Ethiopia,ETH,Australia,AUS,20567725
2017,M,Ethiopia,ETH,Bahrain,BHR,66317530
2017,M,Ethiopia,ETH,Belgium,BEL,180880537
2017,M,Ethiopia,ETH,Brazil,BRA,190818749
2017,M,Ethiopia,ETH,Canada,CAN,57501732
2017,M,Ethiopia,ETH,Sri Lanka,LKA,12522942
2017,M,Ethiopia,ETH,China,CHN,5119948478
2017,M,Ethiopia,ETH,Denmark,DNK,22637159
2017,M,Ethiopia,ETH,Finland,FIN,20289939
2017,M,Ethiopia,ETH,France,FRA,186987425
2017,M,Ethiopia,ETH,Germany,DEU,255148629
2017,M,Ethiopia,ETH,Ghana,GHA,401127
2017,M,Ethiopia,ETH,Greece,GRC,17784561
2017,M,Ethiopia,ETH,Indonesia,IDN,278316681
2017,M,Ethiopia,ETH,Ireland,IRL,38609179
2017,M,Ethiopia,ETH,Israel,ISR,38870044
2017,M,Ethiopia,ETH,Italy,ITA,744489391
2017,M,Ethiopia,ETH,Japan,JPN,723948857
2017,M,Ethiopia,ETH,Rep. of Korea,KOR,190730363
2017,M,Ethiopia,ETH,Lebanon,LBN,2501967
2017,M,Ethiopia,ETH,Malaysia,MYS,346986874
2017,M,Ethiopia,ETH,Mexico,MEX,10550980
2017,M,Ethiopia,ETH,"Other Asia, nes",S19,68806380
2017,M,Ethiopia,ETH,Morocco,MAR,292324684
2017,M,Ethiopia,ETH,Netherlands,NLD,221441942
2017,M,Ethiopia,ETH,Nigeria,NGA,57086302
2017,M,Ethiopia,ETH,Norway,NOR,3819204
