"MEASURE - US dollars at current prices in millions"

,YEAR,"2016","2017","2018"
"ECONOMY","COMPONENT",
"          Afghanistan","  Final consumption expenditure",18501.1797241483,17422.115659539,19520.4875598617
"          Afghanistan","    Household consumption expenditure (including NPISH)",14355.7119497632,13418.5095648713,16010.7906786611
"          Afghanistan","    General government final consumption expenditure",4145.4677743851,4003.6060946678,3509.6968812007
"          Albania","  Final consumption expenditure",10939.7727699116,11861.8108936773,13659.8812601572
"          Albania","    Household consumption expenditure (including NPISH)",9603.0792162826,10364.7505861533,11949.2409684212
"          Albania","    General government final consumption expenditure",1336.6935536371,1497.0603075239,1710.640291736
"          Algeria","  Final consumption expenditure",101466.438562272,104631.7415599975,103576.6984448497
"          Algeria","    Household consumption expenditure (including NPISH)",68035.5131374241,72397.7795803512,73488.475479862
"          Algeria","    General government final consumption expenditure",33430.9254248479,32233.9619796463,30088.2229649877
"          Andorra","  Final consumption expenditure",2236.3782141782,2309.5976650632,2472.1254125374
"          Andorra","    Household consumption expenditure (including NPISH)",1684.7103789573,1750.9875475473,1871.6281282585
"          Andorra","    General government final consumption expenditure",551.667836327,558.6101175158,600.4972830979
"          Angola","  Final consumption expenditure",70692.1076939498,85631.19403537879,67740.44369802131
"          Angola","    Household consumption expenditure (including NPISH)",56655.4303508725,69833.4696560837,57124.1561944972
"          Angola","    General government final consumption expenditure",14036.6773430773,15797.7243792951,10616.2875035241
"          Anguilla","  Final consumption expenditure",319.1651533333,235.8830385185,308.65664
"          Anguilla","    Household consumption expenditure (including NPISH)",266.9869877778,181.895207037,257.9503388889
"          Anguilla","    General government final consumption expenditure",52.1781655556,53.9878314815,50.7063011111
"          Antigua and Barbuda","  Final consumption expenditure",1288.5092314815,1461.2786340741,1453.0426796296
"          Antigua and Barbuda","    Household consumption expenditure (including NPISH)",1064.2538403704,1227.7571525926,1198.0811507407
"          Antigua and Barbuda","    General government final consumption expenditure",224.2553911111,233.5214814815,254.9615288889
"          Argentina","  Final consumption expenditure",464850.7633813206,539739.987975537,421998.4136867924
"          Argentina","    Household consumption expenditure (including NPISH)",366420.7845008583,426200.7832924849,338409.7377987947
"          Argentina","    General government final consumption expenditure",98429.97888046219,113539.2046830521,83588.6758879977
"          Armenia","  Final consumption expenditure",9570.6680644556,10645.4403982933,11617.3137230697
"          Armenia","    Household consumption expenditure (including NPISH)",8151.7741772782,9225.4244039448,10186.3086537313
"          Armenia","    General government final consumption expenditure",1418.8938871773,1420.0159943485,1431.0050693385
"          Aruba","  Final consumption expenditure",2317.6592178771,2368.3966480447,2506.0765905028
"          Aruba","    Household consumption expenditure (including NPISH)",1819.7932960894,1858.2569832402,1966.6497960894
"          Aruba","    General government final consumption expenditure",497.8659217877,510.1396648045,539.4267944134
"          Australia","  Final consumption expenditure",987167.8585509878,1063863.887697721,1083879.882465238
"          Australia","    Household consumption expenditure (including NPISH)",743311.4863694576,799110.5926888326,806554.993431259
"          Australia","    General government final consumption expenditure",243856.3721815303,264753.2950088885,277324.889033979
"          Austria","  Final consumption expenditure",284465.1076590921,300382.507243824,324270.882452737
"          Austria","    Household consumption expenditure (including NPISH)",206731.5132142325,219061.379745718,236282.7447930116
"          Austria","    General government final consumption expenditure",77733.5944448596,81321.127498106,87988.1376597254
"          Azerbaijan","  Final consumption expenditure",27090.2522967973,28168.4715037016,30437.9957059244
"          Azerbaijan","    Household consumption expenditure (including NPISH)",22231.1339313924,23533.6182123669,25506.985225635
"          Azerbaijan","    General government final consumption expenditure",4859.1183654049,4634.8532913348,4931.0104802894
"          Bahamas","  Final consumption expenditure",8746.299999999999,9621.1,9922
"          Bahamas","    Household consumption expenditure (including NPISH)",7363.9,8043.4,8344.6
"          Bahamas","    General government final consumption expenditure",1382.4,1577.7,1577.4
"          Bahrain","  Final consumption expenditure",20063.2937047872,20832.0724760638,21106.141393617
"          Bahrain","    Household consumption expenditure (including NPISH)",14547.5335106383,14934.0371835106,14960.5197101064
"          Bahrain","    General government final consumption expenditure",5515.7601941489,5898.0352925532,6145.6216835106
"          Bangladesh","  Final consumption expenditure",165285.9150151391,183416.3463266789,208058.6944322472
"          Bangladesh","    Household consumption expenditure (including NPISH)",152303.8292157364,168688.5590838854,190919.2898930507
"          Bangladesh","    General government final consumption expenditure",12982.0857994027,14727.7872427934,17139.4045391964
"          Barbados","  Final consumption expenditure",4414.1,4411.2,4385.85
"          Barbados","    Household consumption expenditure (including NPISH)",3765.5,3806.1,3784.8
"          Barbados","    General government final consumption expenditure",648.6,605.1,601.05
"          Belarus","  Final consumption expenditure",33484.223711792,38367.3499769278,41597.1585968845
"          Belarus","    Household consumption expenditure (including NPISH)",26013.9725837594,29801.2416713745,32148.560117458
"          Belarus","    General government final consumption expenditure",7470.2511280326,8566.1083055533,9448.598479426501
"          Belgium","  Final consumption expenditure",354680.9079498587,374523.5393396477,406368.3363507448
"          Belgium","    Household consumption expenditure (including NPISH)",244014.1905770205,258809.7315931769,281358.6329063527
"          Belgium","    General government final consumption expenditure",110666.7173728382,115713.8077464708,125009.7034443921
"          Belize","  Final consumption expenditure",1619.716,1599.663,1624.6741615
"          Belize","    Household consumption expenditure (including NPISH)",1321.3995,1293.6495,1296.8741845
"          Belize","    General government final consumption expenditure",298.3165,306.0135,327.7999775
"          Benin","  Final consumption expenditure",9870.745148741,10555.709206588,11532.6145829332
"          Benin","    Household consumption expenditure (including NPISH)",8655.4427930193,9224.7046864105,10047.8258204928
"          Benin","    General government final consumption expenditure",1215.3023557217,1331.0045201792,1484.7887624404
"          Bermuda","  Final consumption expenditure",4184.07977,4321.551718,4326.752874
"          Bermuda","    Household consumption expenditure (including NPISH)",3347.07977,3491.119718,3478.158874
"          Bermuda","    General government final consumption expenditure",837,830.432,848.5940000000001
"          Bhutan","  Final consumption expenditure",1412.8359863111,1597.8443970275,1678.3019199873
"          Bhutan","    Household consumption expenditure (including NPISH)",1039.8719716753,1186.0784417068,1259.4740436592
"          Bhutan","    General government final consumption expenditure",372.9640146358,411.7659553361,418.8278763281
"          Bolivia (Plurinational State of)","  Final consumption expenditure",29314.0955137482,31760.8538350217,34057.5748885673
"          Bolivia (Plurinational State of)","    Household consumption expenditure (including NPISH)",23388.5672937771,25376.2662807525,26996.9048664255
"          Bolivia (Plurinational State of)","    General government final consumption expenditure",5925.5282199711,6384.5875542692,7060.6700222865
"          Bosnia and Herzegovina","  Final consumption expenditure",17004.8363266672,17756.4144869511,19341.8056558413
"          Bosnia and Herzegovina","    Household consumption expenditure (including NPISH)",13459.3574532031,14090.0480178627,15351.5847185533
"          Bosnia and Herzegovina","    General government final consumption expenditure",3545.4788740296,3666.3664690884,3990.220937288
"          Botswana","  Final consumption expenditure",10251.7865990858,11785.4678482426,12623.140939267
"          Botswana","    Household consumption expenditure (including NPISH)",7405.033083774,8577.895604490401,9225.751535175301
"          Botswana","    General government final consumption expenditure",2846.7535153117,3207.5722437522,3397.3894040917
"          Brazil","  Final consumption expenditure",1519709.163667677,1746216.528496753,1598670.823629583
"          Brazil","    Household consumption expenditure (including NPISH)",1153759.492089791,1330172.663483926,1219975.931805844
