"MEASURE - US dollars at current prices in millions"

,YEAR,"2016","2017","2018","2019","2020"
"ECONOMY","COMPONENT",
"          Afghanistan","  Final consumption expenditure",18591.8631238794,17932.9562962523,19961.6896043919,22659.390021288,21195.3387093604
"          Afghanistan","    Household consumption expenditure (including NPISH)",14446.3953494943,13913.0331279947,16303.5794096694,18075.3945126143,17630.9134554477
"          Afghanistan","    General government final consumption expenditure",4145.4677743851,4019.9231682576,3658.1101947225,4583.9955086737,3564.4252539127
"          Albania","  Final consumption expenditure",10939.7727699116,11861.8108936773,13700.5407866776,14051.8781153079,14081.1442995858
"          Albania","    Household consumption expenditure (including NPISH)",9603.0792162826,10364.7505861533,11989.9004949416,12304.2353850844,12318.9430901243
"          Albania","    General government final consumption expenditure",1336.6935536371,1497.0603075239,1710.640291736,1747.6427302145,1762.2012094616
"          Algeria","  Final consumption expenditure",101466.438562272,104632.0515452627,103576.0843469722,103458.7805544412,99045.7244543166
"          Algeria","    Household consumption expenditure (including NPISH)",68035.5131374241,72397.97151890209,73488.0655094913,74454.3072204175,69880.2935552877
"          Algeria","    General government final consumption expenditure",33430.9254248479,32234.0800263607,30088.0188374809,29004.4733340237,29165.4308990288
"          Andorra","  Final consumption expenditure",2236.3782152844,2309.5976650632,2471.9068627339,2403.5956256677,2229.5251225067
"          Andorra","    Household consumption expenditure (including NPISH)",1684.7103789573,1750.9875475473,1870.9195035906,1809.4501025992,1603.3644332347
"          Andorra","    General government final consumption expenditure",551.667836327,558.6101175158,600.9873591433,594.145524188,626.160689272
"          Angola","  Final consumption expenditure",70692.1076939498,85631.19403537879,67740.44369802131,58850.1682361526,43153.1851717328
"          Angola","    Household consumption expenditure (including NPISH)",56655.4303508725,69833.4696560837,57124.1561944972,49904.7648258539,37765.1213748792
"          Angola","    General government final consumption expenditure",14036.6773430773,15797.7243792951,10616.2875035241,8945.403410298701,5388.0637968519
"          Anguilla","  Final consumption expenditure",319.1651533333,235.8830385185,308.65664,442.4449551852,254.6621244444
"          Anguilla","    Household consumption expenditure (including NPISH)",266.9869877778,181.895207037,257.9503388889,388.8740166667,212.1157281481
"          Anguilla","    General government final consumption expenditure",52.1781655556,53.9878314815,50.7063011111,53.5709385185,42.5463959259
"          Antigua and Barbuda","  Final consumption expenditure",1141.7694992593,1105.4584922222,1099.2279855556,1082.3858940741,822.6479381481
"          Antigua and Barbuda","    Household consumption expenditure (including NPISH)",915.6293759259,870.1823077778,854.4466437037,827.7153859259,622.3916711111
"          Antigua and Barbuda","    General government final consumption expenditure",226.1401233333,235.2761840741,244.7813422222,254.6705081481,200.2562666667
"          Argentina","  Final consumption expenditure",464850.7633813206,543457.079921875,425623.1344145022,358072.0915480443,305601.4893097214
"          Argentina","    Household consumption expenditure (including NPISH)",366420.7845008583,429554.8453930872,340833.331735211,287820.8892612222,243635.7792467682
"          Argentina","    General government final consumption expenditure",98429.97888046219,113902.2345287878,84789.8026792912,70251.2022868221,61965.7100629532
"          Armenia","  Final consumption expenditure",9465.981611899901,10645.4403982933,11372.5525425173,13075.066691008,11556.9730501095
"          Armenia","    Household consumption expenditure (including NPISH)",8047.0877247225,9225.4244039448,9941.5474731789,11363.8627453884,9529.8938212049
"          Armenia","    General government final consumption expenditure",1418.8938871773,1420.0159943485,1431.0050693385,1711.2039456196,2027.0792289046
"          Aruba","  Final consumption expenditure",2327.9497206704,2416.9106145251,2537.7877094972,2602.2504664804,2339.5590273743
"          Aruba","    Household consumption expenditure (including NPISH)",1627.1675977654,1704.9832402235,1783.3575418994,1827.7605910615,1645.908873743
"          Aruba","    General government final consumption expenditure",700.7821229050001,711.9273743017,754.4301675978001,774.4898759777,693.6501536313
"          Australia","  Final consumption expenditure",987167.8585509878,1063863.887697721,1083879.882465238,1020336.685921834,1043740.645831372
"          Australia","    Household consumption expenditure (including NPISH)",743311.4863694576,799110.5926888326,806554.993431259,740725.1668655726,746519.9293638462
"          Australia","    General government final consumption expenditure",243856.3721815303,264753.2950088885,277324.889033979,279611.5190562619,297220.7164675254
"          Austria","  Final consumption expenditure",284465.1076590921,300421.3343858593,324284.2744768782,316061.2495476858,309018.8843060086
